"Phylum";"LIV_CAL_03";"LIV_ISO_01";"LIV_SON_01";"PAL_COS_03";"PAL_RIB_03";"PAL_SPA_01";"ROV_BAG_01";"ROV_FIG_02";"ROV_SAN_03"
"Annelida";"1011";"1127";"1277";"807";"778";"822";"796";"646";"851"
"Arthropoda";"190";"24";"109";"126";"61";"72";"388";"148";"355"
"Echinodermata";"74";"144";"85";"64";"148";"199";"73";"97";"105"
"Mollusca";"341";"357";"131";"520";"314";"542";"311";"275";"235"
"Others";"94";"58";"108";"193";"409";"75";"142";"544";"164"
